# Loaded 404 datapoints from ./data/hera_II_combined_sigmar.txt in Q2 range 2 - 50 GeV^2, now we have in total 404 points 
# 0.077 4.47
# === Perturbative settings ===
# Settings: lo (scheme), lobk, balpdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08
# config::INTACCURACY = 0.005, config::RPOINTS = 200, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
=== Initial parameters ===

# ext. ||   Name    ||   type  ||     Value     ||  Error +/- 

   0   ||    qs0sqr ||  const  ||               0.077 ||
   1   ||alphascalingC2 ||  const  ||                4.47 ||
   2   ||       e_c ||  const  ||                15.6 ||
   3   ||anomalous_dimension ||  const  ||                1.01 ||
   4   ||icx0_nlo_impfac ||  const  ||                   1 ||
   5   ||   icx0_bk ||  const  ||                0.01 ||
   6   ||icTypicalPartonVirtualityQ0sqr ||  const  ||                   1 ||
   7   ||initialconditionY0 ||  const  ||                   0 ||
   8   ||      eta0 ||  const  ||                   0 ||
   9   ||old_sigma02 ||  const  ||             35.6952 ||
  10   ||mass_charm ||  const  ||                 1.4 ||
  11   ||mass_bottom ||  const  ||                 4.9 ||



=== Initializing Chi^2 regression ===  parameters (0.077, 4.47, 15.6, 1.01, 1, 0.01, 1, 0, 0, 35.6952, 1.4, 4.9)
#### Solving BK equation up to y=10.8198
                                                   # Evolved up to 0.4/10.8198, h=0.711961                                                   # Evolved up to 0.8/10.8198, h=0.799719                                                   # Evolved up to 1.2/10.8198, h=0.895245                                                   # Evolved up to 1.6/10.8198, h=0.999951                                                   # Evolved up to 2/10.8198, h=1.10413                                                   # Evolved up to 2.4/10.8198, h=1.12031                                                   # Evolved up to 2.8/10.8198, h=1.13564                                                   # Evolved up to 3.2/10.8198, h=1.1507                                                   # Evolved up to 3.6/10.8198, h=1.16563                                                   # Evolved up to 4/10.8198, h=1.1803                                                   # Evolved up to 4.4/10.8198, h=1.19439                                                   # Evolved up to 4.8/10.8198, h=1.20827                                                   # Evolved up to 5.2/10.8198, h=1.22218                                                   # Evolved up to 5.6/10.8198, h=1.23599                                                   # Evolved up to 6/10.8198, h=1.24925                                                   # Evolved up to 6.4/10.8198, h=1.26246                                                   # Evolved up to 6.8/10.8198, h=1.27562                                                   # Evolved up to 7.2/10.8198, h=1.28882                                                   # Evolved up to 7.6/10.8198, h=1.30153                                                   # Evolved up to 8/10.8198, h=1.31422                                                   # Evolved up to 8.4/10.8198, h=1.3267                                                   # Evolved up to 8.8/10.8198, h=1.33794                                                   # Evolved up to 9.2/10.8198, h=1.33586                                                   # Evolved up to 9.6/10.8198, h=1.35899                                                   # Evolved up to 10/10.8198, h=1.37673                                                   # Evolved up to 10.4/10.8198, h=1.38892                                                   # Evolved up to 10.8/10.8198, h=1.40072                                                   # Evolved up to 11.2/10.8198, h=1.41257
#AmplitudeLib initialized , minr: 1e-06 maxr: 27.5255 rpoints: 200 maxy 11.2 x0 0.01 Q_{s,0}^2 = 0.289521 GeV^2 [ N(r^2=2/Q_s^2, x=x0) = 0.3934] (AmplitudeLib v. 2.1 2017-07-25 git commit deb0171bfc81b828f6432ed07df21e25a9196eb4)
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
=== Computing Reduced Cross sections ===
    0.0032         35    0.10808    0.96333  0.0103109   0.980847
     0.005         35    0.06917     0.8507 0.00950538   0.867032
     0.008         35   0.043231    0.74595  0.0084995   0.757827
   0.00059         45    0.75367     1.4678  0.0515207     1.4753
 0.0006341         45    0.70125     1.4511    0.03021      1.473
    0.0007         45    0.63523     1.4853  0.0389033    1.46396
    0.0008         45    0.55583     1.4601  0.0192028    1.44093
   0.00092         45    0.48333     1.3877  0.0242449    1.40764
    0.0011         45    0.40424     1.3707  0.0223445    1.35998
    0.0013         45    0.34205      1.294  0.0132475    1.30927
     0.002         45    0.22233     1.1521  0.0115633    1.17512
    0.0032         45    0.13896      1.005  0.0103633     1.0345
     0.005         45   0.088933    0.89644  0.0100852    0.91091
     0.008         45   0.055583     0.7804 0.00889242   0.792452
  3.27e-05          2    0.67807    0.85607  0.0362689   0.781515
     5e-05          2    0.44346    0.85359  0.0207224   0.778702
  4.09e-05        2.7    0.73187    0.96068  0.0641913   0.867344
     5e-05        2.7    0.59867    0.88646  0.0186918   0.878077
     8e-05        2.7    0.37417    0.90542  0.0343618   0.853965
  5.73e-05        3.5    0.67718     1.0082  0.0471154   0.952837
     8e-05        3.5    0.48503     0.9801  0.0174889   0.949711
  8.18e-05        4.5    0.60989     1.1151  0.0268862    1.03063
   0.00013        4.5    0.38376       1.01  0.0218956   0.998004
  9.86e-05        6.5    0.73085     1.1653  0.0444711    1.12569
   0.00013        6.5    0.55432     1.1735  0.0196365     1.1296
    0.0002        6.5    0.36031     1.1112  0.0225192     1.0806
  0.000139        8.5    0.67795      1.177  0.0361872    1.20006
    0.0002        8.5    0.47118     1.2119  0.0196962    1.17937
   0.00013         10    0.85281     1.1488   0.067489    1.21025
    0.0002         10    0.55432     1.2448  0.0355021    1.23208
  0.000161         12    0.82632     1.2263  0.0696541     1.2584
    0.0002         12    0.66519     1.2828  0.0334399    1.27808
   0.00032         12    0.41574     1.2251  0.0237608    1.22827
    0.0002         15    0.83149     1.2583  0.0620416    1.30268
  0.000246         15      0.676     1.3604  0.0325753    1.32092
   0.00032         15    0.51968     1.2898  0.0249701    1.30106
  0.000268         18    0.74461     1.3182   0.065919    1.34786
  0.000328         18     0.6084      1.362  0.0320767    1.34626
    0.0005         18    0.39911     1.2656  0.0210734    1.27743
    0.0005         22     0.4878     1.3347  0.0411339    1.33974
  0.000335         27    0.89354     1.3887  0.0800095    1.37982
   0.00041         27    0.73008     1.4046  0.0373456    1.40138
    0.0005         27    0.59867     1.4071  0.0291529    1.39094
    0.0008         27    0.37417     1.2857  0.0351604    1.29366
  0.000574         35      0.676     1.5068  0.0395543    1.41968
    0.0008         35    0.48503     1.3985  0.0216209    1.36665
    0.0008         45    0.62361     1.4864  0.0405604    1.41886
    0.0013         45    0.38376     1.3055  0.0185767     1.3035
  3.72e-05          2    0.85002    0.79593   0.064633   0.717641
  4.15e-05          2    0.76194    0.68012  0.0592919   0.732952
  4.65e-05        2.5    0.85002    0.86473  0.0628108   0.779593
  5.19e-05        2.5    0.76157    0.85248  0.0440236   0.795707
   5.8e-05        2.5    0.68148    0.77106  0.0464658   0.805425
  6.51e-05        3.5    0.85002    0.91286  0.0669155   0.872348
  7.27e-05        3.5    0.76116    0.89358  0.0433307   0.889766
  8.12e-05        3.5    0.68148    0.88886  0.0391122   0.899448
  9.21e-05        3.5    0.60082     0.9441  0.0427455   0.903428
 0.0001062        3.5    0.52105    0.97008  0.0641515   0.900304
  9.31e-05          5     0.8491    0.88713  0.0715708   0.967665
 0.0001038          5    0.76157    0.89632  0.0425525   0.985464
  0.000116          5    0.68148     1.0187  0.0389941   0.994932
 0.0001315          5    0.60115    0.96509  0.0360548   0.997526
 0.0001517          5     0.5211     1.0197  0.0354831   0.992446
 0.0002013          5     0.3927    0.94852   0.034676   0.965773
  0.000121        6.5    0.84931    0.93684   0.082507    1.03319
  0.000135        6.5    0.76124     1.0053  0.0452632    1.05127
 0.0001509        6.5    0.68103     1.1045  0.0398368    1.06047
  0.000163        6.5    0.63047     1.1798   0.190376    1.06215
  0.000171        6.5    0.60098     1.0568  0.0377023    1.06153
  0.000183        6.5    0.56157     1.1842   0.203437    1.05876
 0.0001973        6.5    0.52087     1.1123  0.0348088    1.05433
  0.000228        6.5    0.45073      1.138   0.154719    1.04071
 0.0002617        6.5    0.39269     1.0096  0.0268047     1.0231
 0.0001582        8.5    0.84948     1.0313  0.0913673    1.09599
