# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 5e+07, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r 
          0.001         2.70655       0.0265971        0.564517 
          0.001         12.9642        0.127399         1.00632 
          0.001         16.7719        0.164816         1.09237 
          0.001        0.966217      0.00949497        0.351155 
          0.001            1.25       0.0122837        0.398915 
          0.001         45.9836        0.451878          1.4399 
          0.001         2.09209       0.0205589        0.505547 
          0.001         99.5654        0.978424         1.52728 
          0.001         10.2384        0.100612        0.930596 
          0.001         1.61713       0.0158915         0.45036 
          0.001         4.62813       0.0454804        0.699598 
          0.001         59.4892        0.584597         1.50957 
          0.001         21.6979        0.213224         1.18139 
          0.001         76.9614        0.756296         1.54623 
          0.001        0.987176      0.00970092        0.354996 
          0.001         3.57742       0.0351552         0.63268 
          0.001         1.27711       0.0125501        0.403062 
          0.001         8.08566       0.0794573        0.858043 
          0.001         2.76526        0.027174        0.569615 
          0.001         6.11731       0.0601145        0.776505 
          0.001         2.13747       0.0210048        0.510313 
          0.001         36.3151        0.356867         1.36228 
          0.001         1.65221       0.0162362        0.454814 
          0.001         10.4605        0.102794         0.93735 
          0.001         28.0706        0.275849         1.27218 
          0.001         17.1357        0.168391         1.09969 
          0.001         13.2454        0.130162         1.01334 
          0.001         1.30482       0.0128224        0.407236 
          0.001         4.72852       0.0464669        0.705345 
          0.001         3.65502       0.0359177          0.6381 
          0.001         8.26104       0.0811808        0.864496 
          0.001         101.725        0.999647         1.52288 
          0.001         2.82524       0.0277635        0.574721 
          0.001         2.18383       0.0214604        0.515117 
          0.001         1.68805       0.0165883        0.459297 
          0.001          46.981         0.46168         1.44643 
          0.001            6.25       0.0614184        0.782625 
          0.001         22.1685        0.217849         1.18885 
          0.001         10.6873        0.105024        0.944129 
          0.001         37.1028        0.364607         1.36964 
          0.001         78.6308        0.772701         1.54704 
          0.001         60.7796        0.597278         1.51418 
          0.001         4.83109       0.0474748        0.711128 
          0.001         17.5074        0.172044         1.10703 
          0.001         1.72466       0.0169482        0.463804 
          0.001          2.2312       0.0219259         0.51994 
          0.001         8.44023       0.0829417        0.871009 
          0.001         2.88652       0.0283657        0.579856 
          0.001          3.7343       0.0366968        0.643552 
          0.001         13.5327        0.132985          1.0204 
          0.001         28.6795        0.281832         1.27979 
          0.001         6.38557       0.0627507        0.788769 
          0.001         10.9192        0.107302        0.950951 
          0.001         4.93588       0.0485046         0.71693 
          0.001          2.2796       0.0224015        0.524787 
          0.001         17.8871        0.175776         1.11438 
          0.001         2.94913        0.028981        0.585017 
          0.001         8.62331       0.0847408        0.877518 
          0.001         37.9076        0.372516         1.37697 
          0.001         48.0001        0.471694         1.45292 
          0.001          3.8153       0.0374928         0.64904 
          0.001         22.6494        0.222574          1.1964 
          0.001         80.3364        0.789462         1.54749 
          0.001         6.52408       0.0641118        0.794923 
          0.001         5.04294       0.0495567         0.72276 
          0.001         13.8263         0.13587         1.02748 
          0.001         62.0979        0.610233         1.51859 
          0.001          11.156         0.10963        0.957778 
          0.001          3.0131       0.0296096        0.590191 
          0.001         8.81036       0.0865789        0.884056 
          0.001         29.3016        0.287945         1.28737 
          0.001         3.89806       0.0383061        0.654554 
          0.001         18.2751        0.179589         1.12178 
          0.001         5.15233       0.0506317        0.728629 
          0.001         38.7299        0.380596         1.38424 
          0.001         6.66559       0.0655024         0.80112 
          0.001         49.0413        0.481926         1.45925 
          0.001         23.1407        0.227402         1.20394 
          0.001          11.398        0.112008        0.964612 
          0.001          82.079        0.806586         1.54743 
          0.001         9.00147       0.0884569        0.890631 
          0.001         14.1262        0.138817         1.03461 
          0.001         5.26409       0.0517299        0.734499 
          0.001         3.98262        0.039137        0.660088 
          0.001         18.6715        0.183484         1.12916 
          0.001         6.81018       0.0669233        0.807317 
          0.001         29.9372        0.294191         1.29495 
