# manually written dipole scattering amplitude S=1-N
# sqrt(s) = 319 GeV like in the real data
# x fixed, s fixed -> y = Q^2/(s*x) calculated
# r in (1e-6, 30), logarithmic step size # pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
          0.001       0.0550167        0.999164
          0.001       0.0569442        0.999112
          0.001       0.0589391        0.999059
          0.001       0.0610039        0.999005
          0.001       0.0631411        0.998941
          0.001       0.0653531        0.998875
          0.001       0.0676426        0.998806
          0.001       0.0700123        0.998736
          0.001       0.0724651        0.998662
          0.001       0.0750038        0.998577
          0.001       0.0776314        0.998489
          0.001        0.080351        0.998398
          0.001        0.083166        0.998303
          0.001       0.0860796        0.998205
          0.001       0.0890952        0.998092
          0.001       0.0922165        0.997974
          0.001       0.0954471        0.997853
          0.001       0.0987909        0.997727
          0.001        0.102252        0.997596
          0.001        0.105834        0.997445
          0.001        0.109542        0.997289
          0.001        0.113379        0.997128
          0.001        0.117351         0.99696
          0.001        0.121463        0.996787
          0.001        0.125718        0.996587
          0.001        0.130122        0.996379
          0.001        0.134681        0.996165
          0.001        0.139399        0.995943
          0.001        0.144283        0.995713
          0.001        0.149337        0.995448
          0.001        0.154569        0.995174
          0.001        0.159984         0.99489
          0.001        0.165589        0.994597
          0.001         0.17139        0.994293
          0.001        0.177394        0.993943
          0.001        0.183609        0.993581
          0.001        0.190041        0.993206
          0.001        0.196699        0.992819
          0.001         0.20359        0.992417
          0.001        0.210722        0.991958
          0.001        0.218104        0.991482
          0.001        0.225745        0.990989
          0.001        0.233654        0.990479
          0.001         0.24184        0.989951
          0.001        0.250312        0.989348
          0.001        0.259081        0.988723
          0.001        0.268158        0.988076
          0.001        0.277552        0.987407
          0.001        0.287275        0.986714
          0.001         0.29734        0.985925
          0.001        0.307756        0.985109
          0.001        0.318538        0.984264
          0.001        0.329697        0.983389
          0.001        0.341248        0.982484
          0.001        0.353203        0.981456
          0.001        0.365576        0.980391
          0.001        0.378384         0.97929
          0.001         0.39164         0.97815
          0.001         0.40536         0.97697
          0.001        0.419561        0.975635
          0.001         0.43426        0.974255
          0.001        0.449473        0.972825
          0.001         0.46522        0.971346
          0.001        0.481518        0.969815
          0.001        0.498387         0.96809
          0.001        0.515847        0.966306
          0.001        0.533918        0.964458
          0.001        0.552623        0.962546
          0.001        0.571983        0.960567
          0.001        0.592022        0.958348
          0.001        0.612762        0.956052
          0.001        0.634229        0.953675
          0.001        0.656448        0.951215
          0.001        0.679445        0.948669
          0.001        0.703249        0.945834
          0.001        0.727885        0.942899
          0.001        0.753386        0.939862
          0.001        0.779779        0.936719
          0.001        0.807097        0.933465
          0.001        0.835372        0.929863
          0.001        0.864638        0.926134
          0.001        0.894929        0.922274
          0.001        0.926281        0.918279
          0.001        0.958732        0.914145
          0.001        0.992319        0.909598
          0.001         1.02708        0.904892
          0.001         1.06306        0.900021
          0.001         1.10031         0.89498
          0.001         1.13885        0.889762
          0.001         1.17875        0.884074
          0.001         1.22005        0.878187
          0.001         1.26279        0.872093
          0.001         1.30703        0.865786
          0.001         1.35282        0.859258
          0.001         1.40021        0.852224
          0.001         1.44927        0.844943
          0.001         1.50004        0.837407
          0.001         1.55259        0.829607
          0.001         1.60698        0.821534
          0.001         1.66328         0.81294
          0.001         1.72155        0.804045
          0.001         1.78186        0.794839
          0.001         1.84428         0.78531
          0.001         1.90889        0.775447
          0.001         1.97577        0.765121
          0.001         2.04499        0.754434
          0.001         2.11663        0.743372
          0.001         2.19078        0.731922
          0.001         2.26753        0.720072
          0.001         2.34697        0.707898
          0.001         2.42919        0.695298
          0.001         2.51429        0.682257
          0.001         2.60238        0.668758
          0.001         2.69355        0.654787
          0.001         2.78791        0.640802
          0.001         2.88558        0.626328
          0.001         2.98667        0.611346
          0.001          3.0913        0.595839
          0.001          3.1996        0.579789
          0.001         3.31169        0.564224
          0.001         3.42771        0.548113
          0.001         3.54779        0.531437
          0.001         3.67208        0.514178
          0.001         3.80073        0.496313
          0.001         3.93388        0.479681
          0.001         4.07169        0.462467
          0.001         4.21434        0.444649
          0.001         4.36198        0.426207
          0.001         4.51479        0.407119
          0.001         4.67296        0.390221
          0.001         4.83667        0.372731
          0.001         5.00611        0.354629
          0.001         5.18149        0.335892
          0.001         5.36302        0.316498
          0.001          5.5509        0.300398
          0.001         5.74536        0.283734
          0.001         5.94664        0.266486
          0.001         6.15497        0.248634
          0.001          6.3706        0.230157
          0.001         6.59378         0.21599
          0.001         6.82478        0.201327
          0.001         7.06388         0.18615
          0.001         7.31135        0.170441
          0.001         7.56748        0.154182
          0.001          7.8326        0.142866
          0.001           8.107        0.131154
          0.001         8.39101        0.119032
          0.001         8.68497        0.106485
          0.001         8.98924       0.0934978
          0.001         9.30416       0.0854392
          0.001         9.63011       0.0770982
          0.001         9.96748       0.0684651
          0.001         10.3167       0.0595295
          0.001         10.6781       0.0502809
          0.001         11.0522       0.0452689
          0.001         11.4394       0.0400812
          0.001         11.8401       0.0347118
          0.001         12.2549       0.0291542
          0.001         12.6843        0.023402
          0.001         13.1286        0.020748
          0.001         13.5886       0.0180011
          0.001         14.0646       0.0151579
          0.001         14.5573       0.0122151
          0.001         15.0673      0.00916927
          0.001         15.5952      0.00800602
          0.001         16.1415      0.00680202
          0.001          16.707      0.00555583
          0.001         17.2923      0.00426599
          0.001         17.8981      0.00293096
          0.001         18.5252      0.00252167
          0.001         19.1741      0.00209804
          0.001         19.8459      0.00165957
          0.001         20.5411      0.00120574
          0.001         21.2608     0.000736009
          0.001         22.0056     0.000617214
          0.001         22.7765     0.000494258
          0.001         23.5744     0.000366993
          0.001         24.4003      0.00023527
          0.001         25.2552     9.89369e-05
          0.001         26.1399     9.89369e-05
          0.001         27.0557     9.89369e-05
          0.001         28.0035     9.89369e-05
          0.001         28.9846     9.89369e-05
          0.001              30     9.89369e-05
